energy_kinetic,energy_potential,energy_skyrme,energy_total,field_norm,max_amplitude,topological_charge,structure_count,correlation_length,time,step
172951.1355392453,467257.1104547461,3068.7985911095084,643277.0445851008,8886.600781632518,1.2890632459154288,-1.1873521183877447,0,0.0,0.054,540
186732.14864179448,471852.561071729,3312.4204008880333,661897.1301144116,8956.717661229199,1.312923833293754,-1.1613434175468276,0,0.0,0.056,560
201128.3755720208,476652.6657760362,3567.3028719192594,681348.3442199762,9029.887441048693,1.3379721984878825,-1.1356300639289159,0,0.0,0.058,580
216152.8036040669,481661.7020062277,3833.708346421437,701648.2139567161,9106.16717522619,1.3642454988871267,-1.0891678359666244,0,0.0,0.060000000000000005,600
231818.99894332717,486884.1383933265,4111.909107912753,722815.0464445665,9185.616408766207,1.3917826911095172,-1.0327198448454613,0,0.0,0.062,620
248141.1203997832,492324.63933192956,4402.187481550496,744867.9472132633,9268.29723143219,1.4206245862636595,-0.9773765189135952,0,0.0,0.064,640
265133.93367705244,497988.06975872174,4704.835941651621,767826.8393774258,9354.274333989997,1.4508139077455928,-0.9241555903029531,0,0.0,0.066,660
282812.82629404287,503879.5001441709,5020.157226757714,791712.4836649714,9443.615066862369,1.4823953516398867,-0.8640055628422628,0,0.0,0.068,680
301193.8231569411,510004.2117034657,5348.464462615755,816546.4993230226,9536.38950125402,1.5154156497972002,-0.7897888947554401,0,0.0,0.07,700
320293.60280012287,516367.70183304884,5690.081293454263,842351.385926626,9632.67049280966,1.5499236356633044,-0.7162543529134857,0,0.0,0.07200000000000001,720
340129.514315467,522975.6897793942,6045.342021941915,869150.5461168031,9732.533747869982,1.58597031293758,-0.6162788779585121,0,0.0,0.07400000000000001,740
360719.59499048477,529834.1225469914,6414.591758223041,896968.3092956992,9836.05789239345,1.6236089271420582,-0.6319755297002005,0,0.0,0.076,760
382082.5886766352,536949.1810528276,6798.1865784311885,925829.956307894,9943.324543614683,1.662895040185282,-0.5794032827714123,0,0.0,0.078,780
404237.9649101995,544327.2865349858,7196.493693088372,955761.7451382737,10054.418384513163,1.7038866080083315,-0.5144758910821687,0,0.0,0.08,800
427205.9388091254,551975.1072233359,7609.891625803647,986790.937658265,10169.427241169129,1.7466440614039576,-0.4292595192146421,0,0.0,0.082,820
451007.4917703292,559899.5652806526,8038.770402690366,1018945.8274536722,10288.442163086704,1.7912303901030446,-0.352066899322515,0,0.0,0.084,840
