filename,timestep,global_charge,absolute_charge,charge_ratio,max_local_density,structure_count
snap_0003_trial003_step_000400.npz,400,1.946994205702028,1157.3671810740334,594.4379172213733,0.4997259615895089,22888
snap_0003_trial003_step_000600.npz,600,2.041867368555594,1157.2344595462293,566.7530011011919,0.4975291536562152,22769
snap_0003_trial003_step_000800.npz,800,2.4621782661066156,1157.103669364523,469.95121548378887,0.49925195352904,22772
snap_0004_trial004_step_000000.npz,0,1.666405274375124,1157.6056785899314,694.6723559365491,0.49899157003985545,22808
snap_0004_trial004_step_000200.npz,200,1.7693704761673466,1157.5427120593592,654.2116119810669,0.49935801196095886,22809
snap_0004_trial004_step_000400.npz,400,1.946994205702028,1157.3671810740334,594.4379172213733,0.4997259615895089,22888
snap_0004_trial004_step_000600.npz,600,2.041867368555594,1157.2344595462293,566.7530011011919,0.4975291536562152,22769
snap_0004_trial004_step_000800.npz,800,2.4621782661066156,1157.103669364523,469.95121548378887,0.49925195352904,22772
snap_0005_trial000_step_000000.npz,0,1.6664065076221304,1157.6056770995547,694.6718409403728,0.4989916646293634,22808
snap_0005_trial000_step_000200.npz,200,1.7681996890682958,1157.374831008536,654.549843837962,0.49793291479557816,22864
snap_0005_trial000_step_000400.npz,400,1.937082284703028,1156.9737814107273,597.276527667396,0.49801955526707625,22794
snap_0005_trial000_step_000600.npz,600,1.7013917347806629,1157.2202585372054,680.1609730437705,0.4996718530667018,22695
snap_0005_trial000_step_000800.npz,800,0.5596302855495762,1157.5427762212917,2068.40623897997,0.49800687368837954,22790
snap_0006_trial001_step_000000.npz,0,1.6664065076221304,1157.6056770995547,694.6718409403728,0.4989916646293634,22808
snap_0006_trial001_step_000200.npz,200,1.7681996890682958,1157.374831008536,654.549843837962,0.49793291479557816,22864
snap_0006_trial001_step_000400.npz,400,1.937082284703028,1156.9737814107273,597.276527667396,0.49801955526707625,22794
snap_0006_trial001_step_000600.npz,600,1.7013917347806629,1157.2202585372054,680.1609730437705,0.4996718530667018,22695
snap_0006_trial001_step_000800.npz,800,0.5596302855495762,1157.5427762212917,2068.40623897997,0.49800687368837954,22790
snap_0007_trial002_step_000000.npz,0,1.6664065076221304,1157.6056770995547,694.6718409403728,0.4989916646293634,22808
snap_0007_trial002_step_000200.npz,200,1.7681996890682958,1157.374831008536,654.549843837962,0.49793291479557816,22864
snap_0007_trial002_step_000400.npz,400,1.937082284703028,1156.9737814107273,597.276527667396,0.49801955526707625,22794
snap_0007_trial002_step_000600.npz,600,1.7013917347806629,1157.2202585372054,680.1609730437705,0.4996718530667018,22695
snap_0007_trial002_step_000800.npz,800,0.5596302855495762,1157.5427762212917,2068.40623897997,0.49800687368837954,22790
snap_0008_trial003_step_000000.npz,0,1.6664065076221304,1157.6056770995547,694.6718409403728,0.4989916646293634,22808
snap_0008_trial003_step_000200.npz,200,1.7681996890682958,1157.374831008536,654.549843837962,0.49793291479557816,22864
